axis,fam1,fam2,n1,n2,mean1,mean2,diff,ci_lo,ci_hi,t,df,p,cohen_d,q
V,anthropic,deepseek,4,2,0.15,0.23333333333333334,-0.08333333333333334,-0.3888888888888889,0.225,-0.3569742583244436,1.2134677307479125,0.7732067607110346,-0.4165060086052993,0.9704478235080412
D,anthropic,deepseek,4,2,0.4833333333333333,0.37777777777777777,0.10555555555555551,-0.26388888888888895,0.47500000000000003,0.34496074025507256,1.0817453195105777,0.7850970053953137,0.44647215216798547,0.9704478235080412
C,anthropic,deepseek,4,2,0.36666666666666664,0.3888888888888889,-0.022222222222222254,-0.2222222222222222,0.2,-0.167639626868134,3.8190215531987692,0.8753666647211648,-0.11461365101225073,0.9704478235080412
V,anthropic,gemini,4,4,0.15,0.15000000000000002,-2.7755575615628914e-17,-0.20277777777777775,0.18055555555555558,-2.4713720792591263e-16,5.792572419551673,0.9999999999999998,-1.7475239560792256e-16,0.9999999999999998
D,anthropic,gemini,4,4,0.4833333333333333,0.5083333333333333,-0.025000000000000022,-0.17777777777777776,0.11666666666666664,-0.28892294572688887,5.994645516294896,0.7823714218272237,-0.20429937416387592,0.9704478235080412
C,anthropic,gemini,4,4,0.36666666666666664,0.3416666666666667,0.024999999999999967,-0.1611805555555555,0.23611111111111105,0.2072207731926304,4.47674132139223,0.8449280451181838,0.14652721392722848,0.9704478235080412
V,anthropic,grok,4,5,0.15,0.1288888888888889,0.02111111111111111,-0.17611111111111108,0.1961111111111111,0.19303853250091546,6.9999683727454025,0.852410297311053,0.12543040084587392,0.9704478235080412
D,anthropic,grok,4,5,0.4833333333333333,0.6266666666666667,-0.14333333333333342,-0.40501388888888906,0.11390277777777767,-0.950544396491968,5.404787086092337,0.3823799541627878,-0.5812226183091167,0.9704478235080412
C,anthropic,grok,4,5,0.36666666666666664,0.24444444444444446,0.12222222222222218,-0.13555555555555554,0.382277777777777,0.8186796301239642,6.783468407855576,0.4407765939702103,0.5438200285606322,0.9704478235080412
V,anthropic,openai,4,5,0.15,0.2111111111111111,-0.061111111111111116,-0.26,0.14,-0.5234140465739752,6.919200942725734,0.6170252823192997,-0.3358764645926162,0.9704478235080412
D,anthropic,openai,4,5,0.4833333333333333,0.49333333333333335,-0.010000000000000064,-0.1705694444444445,0.135,-0.11190994826254687,6.980351880976299,0.9140448858715707,-0.07319942184304072,0.9704478235080412
C,anthropic,openai,4,5,0.36666666666666664,0.29555555555555557,0.07111111111111107,-0.15333333333333332,0.3178333333333326,0.5192907868894981,6.13439221439064,0.6217551507621197,0.3537508513127129,0.9704478235080412
V,deepseek,gemini,2,4,0.23333333333333334,0.15000000000000002,0.08333333333333331,-0.23055555555555557,0.3972222222222222,0.34940457841018463,1.3166923998026114,0.7744291292717269,0.3836078769656733,0.9704478235080412
D,deepseek,gemini,2,4,0.37777777777777777,0.5083333333333333,-0.13055555555555554,-0.5055555555555555,0.24444444444444446,-0.42615305173339457,1.0868470179535634,0.7389767733018859,-0.5489290922099601,0.9704478235080412
C,deepseek,gemini,2,4,0.3888888888888889,0.3416666666666667,0.04722222222222222,-0.09444444444444444,0.18888888888888888,0.49551943172972557,2.079639534691709,0.6676624575935354,0.4289047232390949,0.9704478235080412
V,deepseek,grok,2,5,0.23333333333333334,0.1288888888888889,0.10444444444444445,-0.2066666666666667,0.41555555555555557,0.44045620513586925,1.2903225893934402,0.7220249980798994,0.48104659278398415,0.9704478235080412
D,deepseek,grok,2,5,0.37777777777777777,0.6266666666666667,-0.24888888888888894,-0.72,0.21111111111111114,-0.7534958207197497,1.4532751774078987,0.5540679794773269,-0.7422917896218431,0.9704478235080412
C,deepseek,grok,2,5,0.3888888888888889,0.24444444444444446,0.14444444444444443,-0.07999999999999996,0.3378888888888873,1.1139220440037416,4.312090303024668,0.3235180376538483,0.677303845742154,0.9704478235080412
V,deepseek,openai,2,5,0.23333333333333334,0.2111111111111111,0.022222222222222227,-0.3088888888888889,0.3488888888888889,0.09235141930792204,1.364604869091028,0.9380995627244397,0.09578262852211517,0.9704478235080412
D,deepseek,openai,2,5,0.37777777777777777,0.49333333333333335,-0.11555555555555558,-0.49333333333333335,0.2577777777777778,-0.37619478799505135,1.0984322554930606,0.7664493670068886,-0.5,0.9704478235080412
C,deepseek,openai,2,5,0.3888888888888889,0.29555555555555557,0.09333333333333332,-0.08444444444444443,0.27111111111111114,0.809941942467081,3.550651649022391,0.46874070884687496,0.5272289588398904,0.9704478235080412
V,gemini,grok,4,5,0.15000000000000002,0.1288888888888889,0.021111111111111136,-0.18888888888888886,0.2261111111111111,0.17625110576860833,6.755285471695735,0.8652635652642918,0.11724821510438348,0.9704478235080412
D,gemini,grok,4,5,0.5083333333333333,0.6266666666666667,-0.1183333333333334,-0.3744722222222222,0.14444444444444438,-0.7809186296258286,5.479697868361735,0.46723275771183986,-0.4783403526069854,0.9704478235080412
C,gemini,grok,4,5,0.3416666666666667,0.24444444444444446,0.09722222222222221,-0.11333333333333334,0.29166666666666663,0.8276753079497885,5.942182387724456,0.43982144475969226,0.5127138933954165,0.9704478235080412
V,gemini,openai,4,5,0.15000000000000002,0.2111111111111111,-0.06111111111111109,-0.27111111111111114,0.16166666666666668,-0.4828464094367616,6.955379967464561,0.6440312523717279,-0.3168643788966517,0.9704478235080412
D,gemini,openai,4,5,0.5083333333333333,0.49333333333333335,0.014999999999999958,-0.14444444444444443,0.16556944444444424,0.1655611077640993,6.952008990696496,0.8732139807343328,0.10868784154779867,0.9704478235080412
C,gemini,openai,4,5,0.3416666666666667,0.29555555555555557,0.0461111111111111,-0.13,0.22555555555555556,0.45518589755105904,6.527961254700304,0.6637255156794071,0.2867725233812419,0.9704478235080412
V,grok,openai,5,5,0.1288888888888889,0.2111111111111111,-0.08222222222222222,-0.29333333333333333,0.1422222222222222,-0.6633104225746248,7.90642541413143,0.5259948117057089,-0.41951434621291667,0.9704478235080412
D,grok,openai,5,5,0.6266666666666667,0.49333333333333335,0.13333333333333336,-0.14000000000000007,0.3933333333333334,0.8705256841963914,5.7327470988919185,0.4189677432701152,0.5505687847474084,0.9704478235080412
C,grok,openai,5,5,0.24444444444444446,0.29555555555555557,-0.05111111111111111,-0.27555555555555555,0.19333333333333336,-0.38101199810547864,7.702622621414866,0.7134875167431365,-0.24097314597301436,0.9704478235080412
